#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.51e+01    1.52e+01      1.59e-01    1.66e-01      4.79e-01    4.82e-01    1.0e-03
    100      9.69e+00    1.11e+01      2.32e-01    2.44e-01      3.06e-01    3.50e-01    1.0e-03
    200      9.09e+00    7.90e+00      8.93e-03    5.30e-03      2.87e-01    2.50e-01    1.0e-03
    300      5.06e+00    6.77e+00      5.29e-02    5.09e-02      1.60e-01    2.14e-01    1.0e-03
    400      6.52e+00    6.96e+00      7.31e-02    7.00e-02      2.06e-01    2.20e-01    1.0e-03
    500      5.04e+00    5.03e+00      1.08e-02    9.19e-03      1.59e-01    1.59e-01    1.0e-03
    600      4.52e+00    5.20e+00      1.19e-03    7.05e-03      1.43e-01    1.64e-01    1.0e-03
    700      5.13e+00    5.13e+00      1.34e-02    9.47e-03      1.62e-01    1.62e-01    1.0e-03
    800      5.87e+00    5.28e+00      7.49e-02    7.84e-02      1.86e-01    1.67e-01    1.0e-03
    900      4.80e+00    4.48e+00      3.45e-03    3.34e-03      1.52e-01    1.42e-01    1.0e-03
   1000      4.07e+00    3.65e+00      7.69e-02    7.69e-02      1.52e-01    1.37e-01    7.1e-04
   1100      4.34e+00    4.51e+00      4.81e-02    4.97e-02      1.63e-01    1.69e-01    7.1e-04
   1200      3.65e+00    4.17e+00      2.59e-02    2.35e-02      1.37e-01    1.56e-01    7.1e-04
   1300      5.00e+00    4.58e+00      2.84e-02    2.66e-02      1.87e-01    1.72e-01    7.1e-04
   1400      4.84e+00    3.81e+00      1.92e-02    1.99e-02      1.82e-01    1.43e-01    7.1e-04
   1500      3.46e+00    3.18e+00      1.33e-03    6.97e-04      1.30e-01    1.19e-01    7.1e-04
   1600      3.83e+00    4.69e+00      7.54e-03    1.03e-02      1.44e-01    1.76e-01    7.1e-04
   1700      4.31e+00    3.96e+00      6.58e-03    8.48e-03      1.62e-01    1.49e-01    7.1e-04
   1800      4.58e+00    3.79e+00      1.22e-02    1.23e-02      1.72e-01    1.42e-01    7.1e-04
   1900      4.14e+00    4.33e+00      6.46e-03    5.20e-03      1.55e-01    1.62e-01    7.1e-04
   2000      2.23e+00    2.52e+00      1.13e-02    1.21e-02      9.91e-02    1.12e-01    5.0e-04
   2100      2.88e+00    3.32e+00      1.48e-02    1.18e-02      1.28e-01    1.48e-01    5.0e-04
   2200      2.60e+00    2.99e+00      8.39e-03    8.50e-03      1.15e-01    1.33e-01    5.0e-04
   2300      3.06e+00    2.53e+00      1.70e-02    1.94e-02      1.36e-01    1.13e-01    5.0e-04
   2400      3.49e+00    2.78e+00      1.02e-03    5.15e-03      1.55e-01    1.24e-01    5.0e-04
   2500      2.78e+00    3.23e+00      9.95e-03    7.58e-03      1.24e-01    1.44e-01    5.0e-04
   2600      3.33e+00    3.35e+00      7.40e-03    7.42e-03      1.48e-01    1.49e-01    5.0e-04
   2700      3.92e+00    2.93e+00      2.28e-02    2.13e-02      1.74e-01    1.30e-01    5.0e-04
   2800      2.49e+00    3.15e+00      2.42e-02    2.51e-02      1.10e-01    1.40e-01    5.0e-04
   2900      2.85e+00    2.40e+00      2.29e-02    2.64e-02      1.27e-01    1.07e-01    5.0e-04
   3000      2.02e+00    2.34e+00      1.54e-02    9.80e-03      1.06e-01    1.24e-01    3.6e-04
   3100      2.48e+00    2.32e+00      3.98e-03    1.47e-03      1.31e-01    1.22e-01    3.6e-04
   3200      2.59e+00    2.28e+00      2.01e-03    3.04e-03      1.37e-01    1.20e-01    3.6e-04
   3300      2.14e+00    2.13e+00      1.39e-04    1.27e-04      1.13e-01    1.13e-01    3.6e-04
   3400      2.22e+00    2.54e+00      1.84e-02    1.80e-02      1.17e-01    1.34e-01    3.6e-04
   3500      2.11e+00    2.42e+00      8.59e-03    8.59e-03      1.11e-01    1.27e-01    3.6e-04
   3600      2.49e+00    2.22e+00      1.10e-03    4.93e-04      1.32e-01    1.17e-01    3.6e-04
   3700      2.57e+00    1.89e+00      1.13e-02    1.16e-02      1.35e-01    9.95e-02    3.6e-04
   3800      2.20e+00    2.14e+00      1.56e-02    1.59e-02      1.16e-01    1.13e-01    3.6e-04
   3900      1.95e+00    2.54e+00      1.53e-02    1.25e-02      1.03e-01    1.34e-01    3.6e-04
   4000      1.66e+00    1.80e+00      3.96e-03    4.31e-03      1.04e-01    1.13e-01    2.5e-04
   4100      1.78e+00    1.72e+00      1.62e-03    4.94e-04      1.12e-01    1.08e-01    2.5e-04
   4200      2.00e+00    1.80e+00      1.17e-02    1.08e-02      1.25e-01    1.13e-01    2.5e-04
   4300      2.03e+00    1.68e+00      1.17e-02    1.49e-02      1.27e-01    1.05e-01    2.5e-04
   4400      1.99e+00    1.61e+00      6.79e-03    9.41e-03      1.24e-01    1.00e-01    2.5e-04
   4500      1.69e+00    1.87e+00      1.71e-03    5.52e-03      1.06e-01    1.17e-01    2.5e-04
   4600      1.74e+00    1.73e+00      3.99e-03    8.77e-03      1.09e-01    1.08e-01    2.5e-04
   4700      1.72e+00    1.51e+00      7.01e-04    3.37e-03      1.07e-01    9.47e-02    2.5e-04
   4800      1.55e+00    1.95e+00      1.37e-03    1.44e-03      9.67e-02    1.22e-01    2.5e-04
   4900      1.91e+00    1.58e+00      6.54e-03    7.03e-03      1.19e-01    9.91e-02    2.5e-04
   5000      1.51e+00    1.28e+00      8.66e-03    9.45e-03      1.12e-01    9.48e-02    1.8e-04
   5100      1.69e+00    1.49e+00      2.42e-03    1.10e-03      1.26e-01    1.10e-01    1.8e-04
   5200      1.60e+00    1.43e+00      6.51e-03    1.32e-03      1.19e-01    1.06e-01    1.8e-04
   5300      1.66e+00    1.39e+00      1.08e-02    1.16e-02      1.23e-01    1.03e-01    1.8e-04
   5400      1.84e+00    1.24e+00      4.88e-03    2.51e-03      1.36e-01    9.16e-02    1.8e-04
   5500      1.34e+00    1.45e+00      5.04e-03    5.19e-03      9.91e-02    1.07e-01    1.8e-04
   5600      1.50e+00    1.70e+00      8.45e-03    6.24e-03      1.11e-01    1.26e-01    1.8e-04
   5700      1.58e+00    1.24e+00      1.71e-02    1.51e-02      1.17e-01    9.19e-02    1.8e-04
   5800      1.52e+00    1.66e+00      9.13e-03    9.61e-03      1.12e-01    1.23e-01    1.8e-04
   5900      1.69e+00    1.34e+00      4.06e-03    3.11e-03      1.25e-01    9.91e-02    1.8e-04
   6000      1.18e+00    1.07e+00      1.79e-03    2.79e-03      1.03e-01    9.39e-02    1.3e-04
