#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      6.47e+01    5.94e+01      6.95e-02    2.41e-01      2.05e+00    1.88e+00    1.0e-03
    100      4.18e+01    4.13e+01      7.97e-02    8.84e-02      1.32e+00    1.31e+00    1.0e-03
    200      4.13e+01    3.36e+01      7.33e-02    9.37e-02      1.31e+00    1.06e+00    1.0e-03
    300      3.11e+01    2.90e+01      2.38e-01    1.92e-01      9.85e-01    9.16e-01    1.0e-03
    400      2.38e+01    2.42e+01      8.06e-02    1.81e-02      7.53e-01    7.66e-01    1.0e-03
    500      3.00e+01    2.12e+01      2.04e-03    4.87e-02      9.49e-01    6.70e-01    1.0e-03
    600      2.85e+01    2.54e+01      4.14e-01    3.48e-01      9.00e-01    8.03e-01    1.0e-03
    700      2.46e+01    2.29e+01      2.75e-01    2.36e-01      7.78e-01    7.24e-01    1.0e-03
    800      2.65e+01    2.27e+01      5.65e-02    1.38e-02      8.39e-01    7.18e-01    1.0e-03
    900      2.34e+01    2.40e+01      8.74e-02    1.31e-01      7.38e-01    7.58e-01    1.0e-03
   1000      2.07e+01    2.16e+01      6.22e-02    3.45e-02      7.75e-01    8.12e-01    7.1e-04
   1100      2.03e+01    1.75e+01      6.32e-02    7.16e-02      7.60e-01    6.57e-01    7.1e-04
   1200      1.62e+01    1.78e+01      1.71e-01    1.72e-01      6.07e-01    6.66e-01    7.1e-04
   1300      1.79e+01    1.88e+01      8.34e-02    1.70e-01      6.73e-01    7.05e-01    7.1e-04
   1400      1.90e+01    2.00e+01      1.74e-02    5.09e-02      7.13e-01    7.50e-01    7.1e-04
   1500      1.72e+01    1.82e+01      1.00e-01    5.91e-02      6.47e-01    6.82e-01    7.1e-04
   1600      1.86e+01    1.96e+01      1.40e-02    3.68e-02      6.97e-01    7.36e-01    7.1e-04
   1700      2.14e+01    1.91e+01      1.04e-01    1.22e-01      8.01e-01    7.17e-01    7.1e-04
   1800      1.69e+01    1.95e+01      1.74e-01    7.05e-02      6.32e-01    7.30e-01    7.1e-04
   1900      1.82e+01    1.77e+01      5.85e-02    3.90e-02      6.82e-01    6.62e-01    7.1e-04
   2000      1.55e+01    1.55e+01      3.75e-02    2.17e-02      6.91e-01    6.92e-01    5.0e-04
   2100      1.72e+01    1.67e+01      2.20e-02    5.47e-03      7.66e-01    7.42e-01    5.0e-04
   2200      1.25e+01    1.47e+01      1.71e-02    7.98e-03      5.55e-01    6.52e-01    5.0e-04
   2300      1.49e+01    1.49e+01      8.80e-02    6.89e-02      6.64e-01    6.64e-01    5.0e-04
   2400      1.77e+01    1.41e+01      8.75e-02    1.35e-02      7.89e-01    6.25e-01    5.0e-04
