#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.96e+01    1.77e+01      1.06e-01    1.01e-01      6.20e-01    5.59e-01    1.0e-03
    100      1.40e+01    1.51e+01      4.68e-02    4.60e-02      4.42e-01    4.76e-01    1.0e-03
    200      1.50e+01    1.19e+01      1.75e-01    1.94e-01      4.73e-01    3.78e-01    1.0e-03
    300      1.57e+01    1.11e+01      1.18e-01    9.33e-02      4.96e-01    3.51e-01    1.0e-03
    400      1.29e+01    1.25e+01      5.64e-02    5.25e-02      4.07e-01    3.96e-01    1.0e-03
    500      1.35e+01    1.19e+01      4.71e-02    5.04e-02      4.26e-01    3.77e-01    1.0e-03
    600      1.06e+01    9.33e+00      1.25e-02    1.44e-02      3.34e-01    2.95e-01    1.0e-03
    700      9.69e+00    9.57e+00      6.12e-02    7.46e-02      3.06e-01    3.03e-01    1.0e-03
    800      9.05e+00    9.36e+00      8.82e-02    9.67e-02      2.86e-01    2.96e-01    1.0e-03
    900      8.09e+00    8.15e+00      5.42e-02    5.80e-02      2.56e-01    2.58e-01    1.0e-03
   1000      8.11e+00    6.04e+00      2.63e-01    2.61e-01      3.01e-01    2.23e-01    7.1e-04
   1100      6.57e+00    7.38e+00      1.66e-03    5.63e-03      2.46e-01    2.77e-01    7.1e-04
   1200      7.28e+00    6.90e+00      3.37e-02    2.27e-02      2.73e-01    2.59e-01    7.1e-04
   1300      5.69e+00    5.95e+00      1.08e-01    1.13e-01      2.13e-01    2.23e-01    7.1e-04
   1400      5.42e+00    6.50e+00      2.39e-02    2.83e-02      2.03e-01    2.44e-01    7.1e-04
   1500      6.24e+00    5.72e+00      1.79e-02    1.38e-02      2.34e-01    2.15e-01    7.1e-04
   1600      5.83e+00    5.58e+00      3.48e-03    6.54e-03      2.19e-01    2.09e-01    7.1e-04
   1700      5.86e+00    5.88e+00      5.41e-02    5.21e-02      2.20e-01    2.20e-01    7.1e-04
   1800      5.86e+00    4.60e+00      5.04e-02    4.88e-02      2.20e-01    1.72e-01    7.1e-04
   1900      4.77e+00    7.31e+00      4.50e-02    5.04e-02      1.79e-01    2.74e-01    7.1e-04
   2000      4.94e+00    4.87e+00      2.41e-02    2.37e-02      2.20e-01    2.16e-01    5.0e-04
   2100      3.49e+00    4.90e+00      1.36e-02    2.08e-02      1.55e-01    2.18e-01    5.0e-04
   2200      4.43e+00    4.97e+00      4.38e-02    4.36e-02      1.97e-01    2.21e-01    5.0e-04
   2300      4.75e+00    3.68e+00      2.97e-02    3.42e-02      2.11e-01    1.64e-01    5.0e-04
   2400      5.06e+00    4.92e+00      1.52e-02    1.25e-02      2.25e-01    2.19e-01    5.0e-04
   2500      3.62e+00    4.80e+00      4.99e-02    4.62e-02      1.61e-01    2.13e-01    5.0e-04
   2600      4.42e+00    4.68e+00      3.09e-02    2.73e-02      1.96e-01    2.08e-01    5.0e-04
   2700      4.00e+00    5.04e+00      6.09e-02    6.26e-02      1.77e-01    2.24e-01    5.0e-04
   2800      4.11e+00    4.23e+00      1.01e-02    9.70e-03      1.83e-01    1.88e-01    5.0e-04
   2900      4.04e+00    3.87e+00      4.03e-05    4.17e-04      1.80e-01    1.72e-01    5.0e-04
   3000      3.36e+00    3.61e+00      4.06e-02    3.68e-02      1.77e-01    1.90e-01    3.6e-04
   3100      3.73e+00    3.73e+00      3.93e-03    5.90e-03      1.97e-01    1.97e-01    3.6e-04
   3200      3.50e+00    3.82e+00      1.71e-02    1.58e-02      1.85e-01    2.02e-01    3.6e-04
   3300      2.96e+00    3.83e+00      8.44e-03    1.18e-02      1.56e-01    2.02e-01    3.6e-04
   3400      3.83e+00    3.92e+00      2.44e-02    1.90e-02      2.02e-01    2.07e-01    3.6e-04
   3500      3.60e+00    3.78e+00      7.97e-03    6.84e-03      1.90e-01    2.00e-01    3.6e-04
   3600      3.04e+00    3.60e+00      1.23e-02    8.00e-03      1.61e-01    1.90e-01    3.6e-04
   3700      3.51e+00    2.70e+00      1.54e-02    7.83e-03      1.85e-01    1.42e-01    3.6e-04
   3800      2.97e+00    3.68e+00      2.40e-02    2.89e-02      1.57e-01    1.94e-01    3.6e-04
   3900      3.90e+00    3.52e+00      1.78e-02    1.55e-02      2.06e-01    1.86e-01    3.6e-04
   4000      2.44e+00    2.93e+00      8.63e-04    8.04e-03      1.53e-01    1.84e-01    2.5e-04
   4100      3.09e+00    2.17e+00      8.36e-04    2.25e-03      1.93e-01    1.36e-01    2.5e-04
   4200      3.04e+00    3.23e+00      1.82e-02    1.26e-02      1.90e-01    2.02e-01    2.5e-04
   4300      3.10e+00    2.20e+00      8.47e-03    6.34e-03      1.94e-01    1.38e-01    2.5e-04
   4400      3.18e+00    2.27e+00      1.49e-02    1.42e-02      1.99e-01    1.42e-01    2.5e-04
   4500      2.76e+00    3.69e+00      1.21e-02    1.20e-02      1.73e-01    2.31e-01    2.5e-04
   4600      3.11e+00    3.38e+00      2.09e-02    1.63e-02      1.94e-01    2.11e-01    2.5e-04
   4700      2.91e+00    2.83e+00      8.68e-03    7.54e-03      1.82e-01    1.77e-01    2.5e-04
   4800      1.92e+00    2.90e+00      1.16e-02    1.60e-02      1.20e-01    1.81e-01    2.5e-04
