#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      2.16e+01    2.04e+01      1.11e-01    1.04e-01      6.84e-01    6.45e-01    1.0e-03
    100      1.62e+01    1.47e+01      9.66e-03    2.66e-03      5.11e-01    4.65e-01    1.0e-03
    200      1.17e+01    1.41e+01      5.21e-02    4.27e-02      3.72e-01    4.47e-01    1.0e-03
    300      1.07e+01    1.16e+01      1.43e-02    2.03e-02      3.38e-01    3.68e-01    1.0e-03
    400      1.06e+01    1.23e+01      7.45e-02    7.81e-02      3.35e-01    3.89e-01    1.0e-03
    500      1.11e+01    1.19e+01      6.18e-02    5.81e-02      3.50e-01    3.78e-01    1.0e-03
    600      9.87e+00    1.01e+01      1.82e-02    1.99e-02      3.12e-01    3.19e-01    1.0e-03
    700      9.75e+00    9.44e+00      1.07e-01    1.12e-01      3.08e-01    2.99e-01    1.0e-03
    800      8.85e+00    8.15e+00      5.70e-04    5.52e-03      2.80e-01    2.58e-01    1.0e-03
    900      8.90e+00    7.17e+00      5.71e-02    5.62e-02      2.81e-01    2.27e-01    1.0e-03
   1000      8.34e+00    7.13e+00      1.39e-01    1.43e-01      2.92e-01    2.49e-01    8.1e-04
   1100      6.76e+00    7.61e+00      2.69e-03    1.13e-03      2.37e-01    2.67e-01    8.1e-04
   1200      5.61e+00    6.39e+00      1.11e-02    7.63e-03      1.97e-01    2.24e-01    8.1e-04
   1300      5.86e+00    5.91e+00      4.44e-02    4.38e-02      2.05e-01    2.07e-01    8.1e-04
   1400      6.39e+00    7.22e+00      4.48e-02    3.89e-02      2.24e-01    2.53e-01    8.1e-04
   1500      6.39e+00    6.04e+00      5.70e-02    5.32e-02      2.24e-01    2.12e-01    8.1e-04
   1600      5.16e+00    6.29e+00      2.24e-02    2.39e-02      1.81e-01    2.20e-01    8.1e-04
   1700      6.30e+00    5.09e+00      4.47e-02    4.18e-02      2.21e-01    1.78e-01    8.1e-04
   1800      5.80e+00    5.87e+00      2.64e-02    2.39e-02      2.03e-01    2.06e-01    8.1e-04
   1900      6.10e+00    7.87e+00      9.58e-03    1.51e-02      2.14e-01    2.76e-01    8.1e-04
   2000      5.46e+00    5.21e+00      1.26e-03    3.92e-03      2.12e-01    2.02e-01    6.6e-04
   2100      5.15e+00    6.47e+00      6.80e-03    2.56e-03      2.00e-01    2.51e-01    6.6e-04
   2200      6.09e+00    5.56e+00      1.43e-02    1.66e-02      2.37e-01    2.16e-01    6.6e-04
   2300      5.19e+00    3.70e+00      1.31e-03    4.74e-04      2.02e-01    1.43e-01    6.6e-04
   2400      5.07e+00    4.34e+00      3.74e-02    3.22e-02      1.97e-01    1.68e-01    6.6e-04
   2500      5.59e+00    5.71e+00      1.45e-02    2.20e-02      2.17e-01    2.22e-01    6.6e-04
   2600      4.26e+00    5.29e+00      4.34e-03    6.34e-03      1.65e-01    2.05e-01    6.6e-04
   2700      4.54e+00    5.75e+00      2.07e-02    2.45e-02      1.76e-01    2.23e-01    6.6e-04
   2800      4.76e+00    4.34e+00      7.67e-03    3.51e-03      1.85e-01    1.68e-01    6.6e-04
   2900      4.98e+00    4.77e+00      1.85e-02    2.42e-02      1.93e-01    1.85e-01    6.6e-04
   3000      5.06e+00    4.01e+00      2.16e-02    1.83e-02      2.18e-01    1.72e-01    5.4e-04
   3100      3.32e+00    4.22e+00      2.97e-02    3.51e-02      1.43e-01    1.81e-01    5.4e-04
   3200      5.81e+00    5.08e+00      7.88e-03    3.07e-03      2.50e-01    2.18e-01    5.4e-04
   3300      3.64e+00    3.72e+00      1.62e-02    1.58e-02      1.56e-01    1.60e-01    5.4e-04
   3400      4.15e+00    5.38e+00      6.23e-03    3.54e-03      1.79e-01    2.31e-01    5.4e-04
   3500      3.51e+00    4.52e+00      1.42e-03    6.89e-03      1.51e-01    1.94e-01    5.4e-04
   3600      3.88e+00    4.26e+00      3.04e-03    1.88e-03      1.67e-01    1.83e-01    5.4e-04
   3700      3.46e+00    3.13e+00      1.97e-02    1.50e-02      1.49e-01    1.34e-01    5.4e-04
   3800      3.54e+00    4.41e+00      2.20e-02    2.33e-02      1.52e-01    1.90e-01    5.4e-04
   3900      5.73e+00    4.31e+00      2.69e-03    8.32e-03      2.47e-01    1.85e-01    5.4e-04
   4000      3.85e+00    4.07e+00      2.21e-02    2.04e-02      1.83e-01    1.94e-01    4.4e-04
   4100      3.55e+00    3.40e+00      9.39e-03    1.39e-02      1.69e-01    1.62e-01    4.4e-04
   4200      3.62e+00    3.93e+00      7.33e-03    9.02e-03      1.72e-01    1.87e-01    4.4e-04
   4300      3.44e+00    2.79e+00      2.90e-02    2.32e-02      1.64e-01    1.33e-01    4.4e-04
   4400      3.68e+00    2.73e+00      1.23e-02    9.96e-03      1.75e-01    1.30e-01    4.4e-04
   4500      3.55e+00    4.24e+00      5.15e-03    4.83e-03      1.69e-01    2.02e-01    4.4e-04
   4600      3.46e+00    3.79e+00      9.75e-03    9.46e-04      1.65e-01    1.81e-01    4.4e-04
   4700      3.49e+00    3.46e+00      9.92e-03    9.64e-03      1.66e-01    1.65e-01    4.4e-04
   4800      3.60e+00    4.01e+00      1.36e-02    1.14e-02      1.71e-01    1.91e-01    4.4e-04
   4900      2.26e+00    3.72e+00      7.34e-03    9.94e-03      1.08e-01    1.77e-01    4.4e-04
   5000      3.73e+00    2.53e+00      1.64e-02    1.42e-02      1.97e-01    1.33e-01    3.6e-04
   5100      3.18e+00    3.39e+00      1.20e-03    1.80e-03      1.68e-01    1.79e-01    3.6e-04
   5200      2.63e+00    2.59e+00      1.46e-02    1.97e-02      1.39e-01    1.36e-01    3.6e-04
   5300      2.93e+00    2.79e+00      1.09e-02    9.52e-03      1.55e-01    1.47e-01    3.6e-04
   5400      2.57e+00    2.82e+00      5.34e-03    4.69e-03      1.36e-01    1.49e-01    3.6e-04
   5500      3.11e+00    3.77e+00      9.17e-03    4.52e-04      1.64e-01    1.99e-01    3.6e-04
   5600      3.36e+00    3.14e+00      1.21e-02    1.17e-02      1.77e-01    1.66e-01    3.6e-04
   5700      3.93e+00    2.88e+00      2.95e-02    2.91e-02      2.07e-01    1.52e-01    3.6e-04
   5800      2.78e+00    3.34e+00      1.15e-02    1.19e-02      1.47e-01    1.76e-01    3.6e-04
   5900      3.12e+00    2.99e+00      8.54e-03    7.42e-03      1.64e-01    1.58e-01    3.6e-04
   6000      2.18e+00    2.36e+00      2.20e-02    2.00e-02      1.27e-01    1.37e-01    2.9e-04
   6100      3.38e+00    3.32e+00      1.20e-02    1.58e-02      1.98e-01    1.94e-01    2.9e-04
   6200      2.84e+00    2.80e+00      1.13e-02    1.40e-02      1.66e-01    1.63e-01    2.9e-04
   6300      2.86e+00    3.08e+00      1.89e-02    1.69e-02      1.67e-01    1.80e-01    2.9e-04
   6400      2.29e+00    2.30e+00      2.26e-02    1.63e-02      1.34e-01    1.34e-01    2.9e-04
   6500      2.43e+00    2.97e+00      4.42e-04    4.03e-03      1.42e-01    1.73e-01    2.9e-04
   6600      2.76e+00    2.44e+00      5.49e-03    6.67e-03      1.61e-01    1.42e-01    2.9e-04
   6700      3.10e+00    2.83e+00      1.64e-02    2.22e-02      1.81e-01    1.65e-01    2.9e-04
   6800      3.24e+00    2.88e+00      1.46e-02    1.51e-02      1.89e-01    1.68e-01    2.9e-04
   6900      2.58e+00    2.63e+00      1.19e-02    1.12e-02      1.51e-01    1.53e-01    2.9e-04
   7000      2.14e+00    2.79e+00      1.74e-02    1.42e-02      1.38e-01    1.81e-01    2.4e-04
