#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   5900      4.86e+00    5.75e+00      1.97e-03    9.78e-04      3.61e-01    4.26e-01    1.8e-04
   6000      5.14e+00    5.31e+00      2.06e-02    2.02e-02      4.51e-01    4.66e-01    1.3e-04
   6100      5.10e+00    4.51e+00      6.55e-03    8.41e-03      4.48e-01    3.97e-01    1.3e-04
   6200      3.29e+00    5.17e+00      2.30e-02    1.78e-02      2.88e-01    4.54e-01    1.3e-04
   6300      6.30e+00    5.53e+00      9.16e-03    4.56e-03      5.54e-01    4.86e-01    1.3e-04
   6400      4.41e+00    4.45e+00      1.97e-02    4.38e-02      3.88e-01    3.90e-01    1.3e-04
   6500      4.50e+00    5.51e+00      1.04e-02    2.38e-02      3.96e-01    4.84e-01    1.3e-04
   6600      4.36e+00    4.61e+00      3.42e-03    1.13e-03      3.83e-01    4.05e-01    1.3e-04
   6700      4.61e+00    5.79e+00      1.69e-02    1.68e-02      4.05e-01    5.09e-01    1.3e-04
   6800      5.14e+00    4.54e+00      3.41e-03    2.73e-03      4.52e-01    3.99e-01    1.3e-04
   6900      5.63e+00    4.90e+00      1.60e-02    3.47e-02      4.95e-01    4.31e-01    1.3e-04
   7000      4.38e+00    4.71e+00      1.46e-02    1.67e-02      4.56e-01    4.90e-01    9.1e-05
   7100      3.03e+00    3.63e+00      5.58e-03    1.30e-02      3.16e-01    3.78e-01    9.1e-05
   7200      4.95e+00    3.26e+00      1.04e-02    5.32e-03      5.16e-01    3.40e-01    9.1e-05
   7300      4.11e+00    4.43e+00      4.88e-03    5.27e-03      4.28e-01    4.62e-01    9.1e-05
   7400      4.49e+00    4.16e+00      8.31e-03    2.62e-03      4.67e-01    4.33e-01    9.1e-05
   7500      3.26e+00    4.17e+00      6.56e-03    1.03e-02      3.40e-01    4.34e-01    9.1e-05
   7600      4.71e+00    4.60e+00      2.87e-02    1.78e-02      4.90e-01    4.79e-01    9.1e-05
   7700      4.50e+00    4.01e+00      1.92e-02    1.03e-02      4.68e-01    4.17e-01    9.1e-05
   7800      4.49e+00    4.48e+00      1.71e-02    5.10e-03      4.68e-01    4.66e-01    9.1e-05
   7900      4.22e+00    4.30e+00      1.99e-02    1.08e-02      4.39e-01    4.47e-01    9.1e-05
   8000      4.48e+00    2.72e+00      1.54e-03    1.19e-02      5.53e-01    3.35e-01    6.5e-05
   8100      3.67e+00    4.04e+00      1.06e-02    1.55e-03      4.52e-01    4.98e-01    6.5e-05
   8200      4.05e+00    3.70e+00      4.26e-02    3.95e-03      4.97e-01    4.56e-01    6.5e-05
   8300      3.87e+00    2.99e+00      6.59e-05    1.16e-02      4.77e-01    3.68e-01    6.5e-05
   8400      3.61e+00    3.89e+00      1.94e-03    1.38e-02      4.45e-01    4.79e-01    6.5e-05
   8500      1.94e+00    3.28e+00      7.71e-03    2.34e-02      2.39e-01    4.04e-01    6.5e-05
   8600      2.86e+00    3.63e+00      3.37e-03    1.44e-02      3.52e-01    4.47e-01    6.5e-05
   8700      3.92e+00    4.11e+00      1.04e-02    1.42e-02      4.84e-01    5.07e-01    6.5e-05
   8800      3.63e+00    3.93e+00      2.89e-03    2.79e-02      4.47e-01    4.84e-01    6.5e-05
   8900      3.76e+00    2.82e+00      2.16e-03    1.24e-02      4.63e-01    3.47e-01    6.5e-05
   9000      2.73e+00    3.22e+00      5.12e-03    1.01e-02      3.98e-01    4.69e-01    4.6e-05
   9100      3.89e+00    1.99e+00      7.67e-03    1.49e-02      5.67e-01    2.89e-01    4.6e-05
   9200      2.80e+00    2.77e+00      1.42e-02    1.75e-03      4.08e-01    4.04e-01    4.6e-05
   9300      2.85e+00    2.32e+00      1.73e-03    4.33e-03      4.15e-01    3.38e-01    4.6e-05
   9400      3.15e+00    2.55e+00      5.56e-03    1.65e-02      4.59e-01    3.71e-01    4.6e-05
   9500      2.78e+00    2.50e+00      1.06e-02    3.09e-03      4.05e-01    3.64e-01    4.6e-05
   9600      3.26e+00    2.82e+00      1.24e-02    9.67e-03      4.75e-01    4.11e-01    4.6e-05
   9700      2.87e+00    2.84e+00      5.25e-03    1.67e-03      4.19e-01    4.14e-01    4.6e-05
   9800      1.76e+00    2.85e+00      8.59e-04    6.04e-03      2.57e-01    4.16e-01    4.6e-05
   9900      3.18e+00    2.76e+00      4.66e-03    1.24e-02      4.63e-01    4.03e-01    4.6e-05
  10000      1.36e+00    2.54e+00      6.76e-03    1.11e-04      2.34e-01    4.37e-01    3.3e-05
  10100      2.47e+00    2.78e+00      4.59e-03    1.04e-02      4.25e-01    4.79e-01    3.3e-05
  10200      2.33e+00    2.51e+00      2.66e-03    8.99e-03      4.01e-01    4.32e-01    3.3e-05
  10300      2.70e+00    2.42e+00      7.91e-03    1.01e-02      4.64e-01    4.17e-01    3.3e-05
  10400      2.05e+00    2.17e+00      3.89e-03    4.70e-03      3.53e-01    3.74e-01    3.3e-05
  10500      2.29e+00    1.34e+00      2.16e-02    2.18e-03      3.93e-01    2.30e-01    3.3e-05
  10600      2.33e+00    2.60e+00      1.11e-02    1.13e-02      4.02e-01    4.48e-01    3.3e-05
  10700      3.20e+00    2.74e+00      4.42e-03    2.37e-02      5.51e-01    4.71e-01    3.3e-05
  10800      1.56e+00    2.46e+00      3.66e-03    3.98e-03      2.69e-01    4.23e-01    3.3e-05
  10900      2.73e+00    2.22e+00      4.82e-03    5.36e-03      4.70e-01    3.83e-01    3.3e-05
  11000      2.68e+00    2.21e+00      6.05e-03    9.24e-03      5.44e-01    4.49e-01    2.3e-05
  11100      2.44e+00    2.50e+00      9.47e-03    1.53e-02      4.95e-01    5.07e-01    2.3e-05
  11200      2.57e+00    1.79e+00      3.70e-03    5.17e-03      5.21e-01    3.63e-01    2.3e-05
  11300      2.08e+00    2.39e+00      2.48e-03    3.63e-03      4.22e-01    4.86e-01    2.3e-05
  11400      1.90e+00    1.84e+00      1.01e-02    1.20e-02      3.86e-01    3.73e-01    2.3e-05
  11500      2.21e+00    2.20e+00      5.25e-03    7.61e-03      4.48e-01    4.47e-01    2.3e-05
  11600      2.44e+00    2.37e+00      3.06e-03    5.04e-03      4.95e-01    4.82e-01    2.3e-05
  11700      2.30e+00    1.79e+00      5.73e-03    1.59e-03      4.67e-01    3.63e-01    2.3e-05
