#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   5900      6.40e+00    7.01e+00      1.51e-02    6.85e-04      3.38e-01    3.70e-01    3.6e-04
   6000      6.32e+00    6.00e+00      2.02e-03    1.41e-02      3.70e-01    3.51e-01    2.9e-04
   6100      5.91e+00    6.34e+00      3.12e-03    7.58e-03      3.45e-01    3.71e-01    2.9e-04
   6200      5.98e+00    5.71e+00      1.05e-02    1.15e-02      3.50e-01    3.34e-01    2.9e-04
   6300      5.24e+00    5.07e+00      5.01e-03    1.94e-02      3.06e-01    2.96e-01    2.9e-04
   6400      5.32e+00    5.71e+00      8.33e-03    1.34e-02      3.11e-01    3.33e-01    2.9e-04
   6500      3.85e+00    6.00e+00      2.02e-02    1.28e-02      2.25e-01    3.51e-01    2.9e-04
   6600      8.86e+00    4.08e+00      2.61e-02    1.60e-03      5.18e-01    2.39e-01    2.9e-04
   6700      6.61e+00    5.54e+00      2.38e-02    1.31e-02      3.86e-01    3.24e-01    2.9e-04
   6800      5.10e+00    5.75e+00      7.96e-03    1.10e-02      2.98e-01    3.36e-01    2.9e-04
   6900      5.85e+00    4.44e+00      1.31e-02    1.93e-02      3.42e-01    2.59e-01    2.9e-04
   7000      5.80e+00    4.86e+00      2.79e-03    8.54e-03      3.76e-01    3.14e-01    2.4e-04
   7100      4.53e+00    5.84e+00      1.43e-02    1.27e-02      2.93e-01    3.78e-01    2.4e-04
   7200      4.94e+00    2.47e+00      5.86e-03    4.06e-03      3.19e-01    1.60e-01    2.4e-04
   7300      5.01e+00    4.90e+00      8.23e-03    1.34e-02      3.25e-01    3.17e-01    2.4e-04
   7400      5.37e+00    3.86e+00      7.86e-04    9.79e-03      3.48e-01    2.50e-01    2.4e-04
   7500      3.86e+00    5.47e+00      1.17e-02    7.52e-03      2.50e-01    3.54e-01    2.4e-04
   7600      4.09e+00    6.90e+00      1.76e-03    9.07e-03      2.65e-01    4.47e-01    2.4e-04
   7700      4.29e+00    4.52e+00      1.08e-02    2.97e-04      2.78e-01    2.93e-01    2.4e-04
   7800      4.72e+00    5.41e+00      1.16e-03    1.56e-02      3.05e-01    3.50e-01    2.4e-04
   7900      4.92e+00    4.64e+00      1.91e-02    9.84e-03      3.19e-01    3.01e-01    2.4e-04
   8000      4.37e+00    4.12e+00      2.95e-02    3.84e-03      3.13e-01    2.96e-01    1.9e-04
   8100      4.61e+00    4.36e+00      2.86e-02    9.97e-03      3.30e-01    3.12e-01    1.9e-04
   8200      5.34e+00    3.57e+00      5.71e-04    1.18e-02      3.83e-01    2.56e-01    1.9e-04
   8300      4.71e+00    4.80e+00      1.07e-02    6.24e-03      3.38e-01    3.44e-01    1.9e-04
   8400      3.56e+00    3.92e+00      1.64e-03    2.09e-03      2.55e-01    2.81e-01    1.9e-04
   8500      3.79e+00    4.52e+00      6.67e-03    1.03e-02      2.72e-01    3.24e-01    1.9e-04
   8600      3.54e+00    4.49e+00      3.89e-03    1.88e-02      2.54e-01    3.22e-01    1.9e-04
   8700      3.51e+00    3.58e+00      1.53e-02    2.53e-03      2.51e-01    2.57e-01    1.9e-04
   8800      3.88e+00    5.18e+00      5.93e-03    1.58e-03      2.78e-01    3.71e-01    1.9e-04
   8900      4.72e+00    3.80e+00      4.49e-03    2.43e-03      3.38e-01    2.72e-01    1.9e-04
   9000      4.52e+00    4.13e+00      1.87e-02    3.97e-04      3.59e-01    3.28e-01    1.6e-04
   9100      4.27e+00    2.38e+00      8.63e-03    1.12e-02      3.39e-01    1.89e-01    1.6e-04
   9200      3.06e+00    3.86e+00      3.59e-03    3.34e-03      2.43e-01    3.06e-01    1.6e-04
   9300      2.35e+00    3.42e+00      5.53e-04    5.58e-03      1.87e-01    2.71e-01    1.6e-04
   9400      3.55e+00    4.37e+00      7.23e-03    5.68e-03      2.82e-01    3.47e-01    1.6e-04
   9500      3.67e+00    2.37e+00      1.56e-02    4.31e-03      2.91e-01    1.88e-01    1.6e-04
   9600      3.71e+00    3.87e+00      9.37e-03    8.95e-03      2.94e-01    3.07e-01    1.6e-04
   9700      2.87e+00    3.34e+00      1.66e-02    1.42e-02      2.28e-01    2.65e-01    1.6e-04
   9800      4.29e+00    4.20e+00      1.84e-02    2.19e-02      3.41e-01    3.33e-01    1.6e-04
   9900      4.00e+00    3.06e+00      4.60e-03    3.12e-03      3.17e-01    2.43e-01    1.6e-04
  10000      3.27e+00    3.47e+00      3.74e-03    4.52e-03      2.88e-01    3.05e-01    1.3e-04
  10100      1.66e+00    2.46e+00      1.46e-03    9.14e-03      1.45e-01    2.16e-01    1.3e-04
  10200      3.68e+00    2.42e+00      3.12e-02    8.50e-03      3.23e-01    2.13e-01    1.3e-04
  10300      3.09e+00    3.60e+00      6.01e-03    7.82e-03      2.71e-01    3.16e-01    1.3e-04
  10400      1.79e+00    3.11e+00      8.50e-03    1.15e-02      1.57e-01    2.73e-01    1.3e-04
  10500      3.82e+00    4.01e+00      1.34e-02    9.43e-03      3.36e-01    3.52e-01    1.3e-04
  10600      2.64e+00    3.57e+00      5.37e-03    5.38e-03      2.32e-01    3.14e-01    1.3e-04
  10700      2.81e+00    5.01e+00      7.98e-03    2.45e-02      2.47e-01    4.40e-01    1.3e-04
  10800      4.26e+00    3.06e+00      6.01e-03    1.81e-02      3.75e-01    2.69e-01    1.3e-04
  10900      3.35e+00    3.51e+00      2.98e-03    1.14e-02      2.94e-01    3.08e-01    1.3e-04
  11000      3.59e+00    2.17e+00      6.51e-03    4.23e-04      3.50e-01    2.11e-01    1.0e-04
  11100      3.40e+00    3.72e+00      4.58e-03    7.63e-03      3.31e-01    3.61e-01    1.0e-04
  11200      3.63e+00    3.31e+00      1.77e-03    6.17e-03      3.53e-01    3.22e-01    1.0e-04
  11300      2.29e+00    2.69e+00      3.51e-03    9.04e-03      2.22e-01    2.61e-01    1.0e-04
  11400      3.11e+00    3.05e+00      1.51e-02    4.93e-03      3.02e-01    2.97e-01    1.0e-04
  11500      3.17e+00    3.19e+00      1.41e-02    6.85e-03      3.08e-01    3.10e-01    1.0e-04
  11600      2.89e+00    3.05e+00      1.14e-03    1.44e-02      2.82e-01    2.97e-01    1.0e-04
  11700      2.60e+00    3.63e+00      4.60e-03    1.68e-03      2.53e-01    3.53e-01    1.0e-04
  11800      1.87e+00    3.30e+00      1.08e-02    7.92e-03      1.82e-01    3.22e-01    1.0e-04
  11900      3.15e+00    2.92e+00      2.40e-02    2.62e-02      3.06e-01    2.83e-01    1.0e-04
  12000      2.70e+00    1.85e+00      8.89e-03    5.79e-03      2.91e-01    1.99e-01    8.5e-05
  12100      2.92e+00    2.83e+00      6.24e-03    4.35e-03      3.14e-01    3.05e-01    8.5e-05
  12200      2.94e+00    1.80e+00      4.67e-03    1.03e-02      3.17e-01    1.94e-01    8.5e-05
  12300      3.04e+00    2.90e+00      5.89e-03    4.35e-03      3.28e-01    3.12e-01    8.5e-05
  12400      3.09e+00    2.51e+00      1.60e-02    2.36e-02      3.33e-01    2.70e-01    8.5e-05
  12500      3.20e+00    2.75e+00      9.26e-03    4.28e-03      3.45e-01    2.96e-01    8.5e-05
  12600      2.50e+00    3.29e+00      8.56e-03    1.38e-02      2.69e-01    3.54e-01    8.5e-05
  12700      2.27e+00    2.45e+00      1.30e-02    9.21e-03      2.44e-01    2.64e-01    8.5e-05
  12800      2.54e+00    2.84e+00      1.29e-02    7.11e-03      2.74e-01    3.06e-01    8.5e-05
  12900      2.91e+00    2.50e+00      6.11e-03    1.91e-02      3.13e-01    2.69e-01    8.5e-05
  13000      1.55e+00    2.29e+00      8.64e-03    1.22e-02      1.84e-01    2.72e-01    6.9e-05
  13100      2.75e+00    2.32e+00      2.18e-04    8.99e-03      3.28e-01    2.76e-01    6.9e-05
  13200      3.63e+00    2.69e+00      1.15e-02    2.32e-02      4.33e-01    3.20e-01    6.9e-05
  13300      2.07e+00    2.41e+00      3.32e-03    2.76e-05      2.47e-01    2.87e-01    6.9e-05
  13400      2.58e+00    2.16e+00      1.73e-02    8.16e-03      3.07e-01    2.57e-01    6.9e-05
  13500      2.23e+00    2.94e+00      6.26e-03    1.85e-02      2.66e-01    3.50e-01    6.9e-05
  13600      2.06e+00    1.61e+00      5.80e-03    5.77e-03      2.45e-01    1.91e-01    6.9e-05
  13700      2.40e+00    2.94e+00      1.65e-02    4.68e-03      2.86e-01    3.50e-01    6.9e-05
  13800      2.03e+00    1.53e+00      1.93e-02    8.15e-03      2.41e-01    1.82e-01    6.9e-05
  13900      1.76e+00    2.24e+00      1.35e-02    1.46e-03      2.09e-01    2.67e-01    6.9e-05
  14000      1.97e+00    1.93e+00      6.08e-03    1.29e-02      2.60e-01    2.55e-01    5.7e-05
  14100      2.52e+00    2.23e+00      1.40e-02    3.60e-03      3.32e-01    2.94e-01    5.7e-05
  14200      2.64e+00    1.90e+00      7.08e-03    2.63e-03      3.48e-01    2.51e-01    5.7e-05
  14300      2.47e+00    2.24e+00      3.78e-03    6.62e-03      3.26e-01    2.95e-01    5.7e-05
  14400      2.13e+00    2.19e+00      3.45e-03    3.46e-03      2.81e-01    2.88e-01    5.7e-05
  14500      2.29e+00    2.37e+00      3.46e-03    1.05e-02      3.02e-01    3.12e-01    5.7e-05
  14600      2.71e+00    2.48e+00      8.46e-03    7.98e-03      3.58e-01    3.26e-01    5.7e-05
