#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      3.54e+01    2.48e+01      1.67e-01    1.25e-01      1.12e+00    7.84e-01    1.0e-03
    100      1.55e+01    1.45e+01      4.03e-01    3.79e-01      4.91e-01    4.60e-01    1.0e-03
    200      1.57e+01    1.51e+01      7.78e-02    4.29e-02      4.97e-01    4.77e-01    1.0e-03
    300      1.20e+01    1.32e+01      1.44e-01    1.39e-01      3.80e-01    4.16e-01    1.0e-03
    400      1.18e+01    1.01e+01      2.17e-01    2.09e-01      3.72e-01    3.19e-01    1.0e-03
    500      9.14e+00    9.76e+00      1.29e-01    1.40e-01      2.89e-01    3.09e-01    1.0e-03
    600      1.21e+01    9.48e+00      4.70e-02    3.82e-02      3.83e-01    3.00e-01    1.0e-03
    700      8.68e+00    9.04e+00      1.98e-02    2.55e-02      2.75e-01    2.86e-01    1.0e-03
    800      5.96e+00    8.60e+00      1.18e-01    1.37e-01      1.88e-01    2.72e-01    1.0e-03
    900      1.13e+01    9.25e+00      1.08e-01    9.33e-02      3.57e-01    2.92e-01    1.0e-03
   1000      6.63e+00    8.08e+00      4.23e-03    4.50e-03      2.49e-01    3.03e-01    7.1e-04
   1100      7.29e+00    7.99e+00      3.94e-02    4.40e-02      2.73e-01    3.00e-01    7.1e-04
   1200      5.54e+00    5.70e+00      5.20e-02    5.91e-02      2.08e-01    2.14e-01    7.1e-04
   1300      8.39e+00    6.06e+00      1.48e-02    4.16e-03      3.15e-01    2.27e-01    7.1e-04
   1400      6.82e+00    8.65e+00      2.14e-02    1.67e-02      2.56e-01    3.25e-01    7.1e-04
   1500      5.52e+00    6.43e+00      8.87e-02    9.75e-02      2.07e-01    2.41e-01    7.1e-04
   1600      5.51e+00    5.33e+00      4.25e-02    4.26e-02      2.06e-01    2.00e-01    7.1e-04
   1700      7.18e+00    5.49e+00      3.57e-02    2.34e-02      2.69e-01    2.06e-01    7.1e-04
   1800      6.79e+00    7.69e+00      1.98e-02    2.64e-02      2.55e-01    2.88e-01    7.1e-04
   1900      7.52e+00    4.89e+00      8.92e-02    9.42e-02      2.82e-01    1.83e-01    7.1e-04
   2000      4.71e+00    5.12e+00      1.54e-02    9.46e-03      2.09e-01    2.28e-01    5.0e-04
   2100      5.29e+00    4.22e+00      5.23e-03    1.06e-03      2.35e-01    1.88e-01    5.0e-04
   2200      5.84e+00    4.90e+00      3.57e-02    3.47e-02      2.60e-01    2.18e-01    5.0e-04
   2300      4.75e+00    4.97e+00      2.08e-02    1.19e-02      2.11e-01    2.21e-01    5.0e-04
   2400      6.00e+00    5.87e+00      4.27e-02    3.26e-02      2.67e-01    2.61e-01    5.0e-04
   2500      5.06e+00    4.94e+00      2.19e-02    2.22e-02      2.25e-01    2.20e-01    5.0e-04
   2600      6.05e+00    5.36e+00      1.94e-02    1.78e-02      2.69e-01    2.39e-01    5.0e-04
   2700      5.74e+00    4.43e+00      3.44e-02    3.12e-02      2.55e-01    1.97e-01    5.0e-04
   2800      4.49e+00    4.70e+00      1.66e-02    1.72e-02      2.00e-01    2.09e-01    5.0e-04
   2900      5.62e+00    6.10e+00      5.96e-02    5.30e-02      2.50e-01    2.71e-01    5.0e-04
   3000      4.85e+00    4.30e+00      3.54e-02    1.82e-02      2.56e-01    2.27e-01    3.6e-04
   3100      4.22e+00    3.78e+00      2.08e-04    7.59e-03      2.23e-01    1.99e-01    3.6e-04
   3200      4.59e+00    4.05e+00      4.60e-03    3.10e-03      2.42e-01    2.13e-01    3.6e-04
   3300      4.53e+00    4.65e+00      2.21e-02    1.96e-02      2.39e-01    2.45e-01    3.6e-04
   3400      4.50e+00    3.19e+00      8.94e-03    1.09e-02      2.38e-01    1.69e-01    3.6e-04
   3500      5.05e+00    3.39e+00      1.00e-02    1.09e-02      2.66e-01    1.79e-01    3.6e-04
   3600      3.86e+00    3.36e+00      2.26e-02    1.24e-02      2.03e-01    1.77e-01    3.6e-04
   3700      4.77e+00    3.88e+00      1.00e-02    1.14e-02      2.51e-01    2.05e-01    3.6e-04
   3800      5.08e+00    3.85e+00      3.00e-02    2.93e-02      2.68e-01    2.03e-01    3.6e-04
   3900      4.68e+00    4.29e+00      2.12e-03    5.21e-04      2.47e-01    2.26e-01    3.6e-04
   4000      3.32e+00    2.40e+00      2.00e-03    3.21e-03      2.08e-01    1.50e-01    2.5e-04
   4100      3.26e+00    3.72e+00      1.46e-02    6.49e-03      2.04e-01    2.33e-01    2.5e-04
   4200      3.82e+00    3.49e+00      1.12e-02    2.24e-03      2.39e-01    2.18e-01    2.5e-04
   4300      4.77e+00    2.50e+00      5.51e-03    2.78e-04      2.98e-01    1.57e-01    2.5e-04
   4400      4.85e+00    2.73e+00      6.89e-04    8.48e-04      3.04e-01    1.71e-01    2.5e-04
   4500      3.51e+00    3.27e+00      1.36e-02    2.11e-02      2.20e-01    2.04e-01    2.5e-04
   4600      3.93e+00    2.92e+00      1.59e-02    1.84e-02      2.46e-01    1.83e-01    2.5e-04
   4700      3.77e+00    4.14e+00      1.18e-02    3.73e-03      2.36e-01    2.59e-01    2.5e-04
   4800      3.21e+00    2.97e+00      2.47e-02    1.61e-02      2.00e-01    1.86e-01    2.5e-04
   4900      3.68e+00    3.55e+00      1.38e-02    1.10e-02      2.30e-01    2.22e-01    2.5e-04
   5000      2.91e+00    3.98e+00      7.97e-03    1.46e-03      2.16e-01    2.95e-01    1.8e-04
   5100      2.68e+00    2.53e+00      4.28e-03    1.13e-02      1.99e-01    1.88e-01    1.8e-04
   5200      2.77e+00    2.27e+00      2.98e-03    3.11e-03      2.06e-01    1.68e-01    1.8e-04
   5300      2.39e+00    2.05e+00      3.82e-03    2.58e-03      1.78e-01    1.52e-01    1.8e-04
   5400      2.51e+00    2.79e+00      2.17e-03    3.47e-03      1.86e-01    2.07e-01    1.8e-04
   5500      2.75e+00    2.71e+00      9.37e-03    7.52e-03      2.04e-01    2.01e-01    1.8e-04
   5600      3.10e+00    2.86e+00      1.69e-02    1.81e-02      2.30e-01    2.12e-01    1.8e-04
   5700      2.44e+00    3.53e+00      3.02e-02    2.53e-02      1.81e-01    2.61e-01    1.8e-04
   5800      4.13e+00    2.79e+00      1.39e-02    1.60e-02      3.07e-01    2.07e-01    1.8e-04
   5900      2.76e+00    2.11e+00      7.54e-03    7.84e-03      2.05e-01    1.57e-01    1.8e-04
   6000      2.66e+00    2.25e+00      2.19e-02    2.26e-02      2.33e-01    1.98e-01    1.3e-04
   6100      2.68e+00    2.27e+00      3.45e-03    2.38e-03      2.35e-01    1.99e-01    1.3e-04
   6200      3.12e+00    1.84e+00      2.47e-03    8.21e-04      2.74e-01    1.62e-01    1.3e-04
   6300      1.99e+00    2.66e+00      7.19e-03    1.32e-02      1.74e-01    2.34e-01    1.3e-04
   6400      2.45e+00    2.51e+00      1.01e-02    6.79e-03      2.15e-01    2.21e-01    1.3e-04
   6500      2.39e+00    2.45e+00      5.06e-03    1.26e-02      2.10e-01    2.15e-01    1.3e-04
   6600      2.38e+00    2.74e+00      5.89e-03    1.52e-02      2.09e-01    2.40e-01    1.3e-04
   6700      3.09e+00    2.02e+00      6.37e-04    1.65e-03      2.71e-01    1.78e-01    1.3e-04
   6800      2.52e+00    2.23e+00      1.39e-02    1.01e-02      2.22e-01    1.96e-01    1.3e-04
